valueDate,code,name,category,risk,company,manager,establishmentDate,size,rating,quota,institutionalProportion,shares,bonds,cash,yield,vix,loss,last1m,last3m,last6m,last1y,last2y,last3y,series
2026-09-07,008989,大成科技创新混合C,混合型-偏股,中高风险,大成基金,郭玮羚,2020-04-29,201.04,5,-1,41.59,89.61,0.0,13.02,57.39,2.79,-41.02,-1.0,-15.09,35.31,81.0,314.86,272.71,0.0/15.71/3.79/20.99/22.01/39.17/30.59/87.36/185.88/76.42/88.86/81.0
2026-09-07,001302,前海开源金银珠宝混合A,混合型-灵活,中高风险,前海开源基金,吴国清,2015-07-09,13.04,3,-1,9.87,91.33,0.0,12.99,27.18,3.21,-39.34,5.88,24.97,-12.04,35.57,119.87,112.37,0.0/21.28/4.49/15.19/73.14/48.32/22.55/45.5/8.48/8.3/46.19/35.57
2026-09-07,002207,前海开源金银珠宝混合C,混合型-灵活,中高风险,前海开源基金,吴国清,2015-12-02,50.59,3,-1,21.51,91.33,0.0,12.99,27.1,3.21,-39.34,5.88,24.96,-12.05,35.52,119.47,111.83,0.0/21.31/4.5/15.18/73.12/48.29/22.52/45.5/8.45/8.22/46.1/35.52
2026-09-04,100055,富国全球科技互联网股票(QDII)A,QDII-普通股票,中高风险,富国基金,赵年珅,2011-07-13,66.94,0,1000,6.38,92.25,0.0,10.82,28.65,1.97,-25.42,-3.18,-15.13,38.97,51.7,126.14,133.1,0.0/10.33/13.6/4.13/21.66/9.16/8.06/56.49/99.19/48.56/62.52/51.7
2026-09-07,011144,华安汇宏精选混合A,混合型-偏股,中高风险,华安基金,桑翔宇,2021-03-26,53.07,5,1000000,50.01,92.96,0.0,9.96,41.11,3.09,-39.53,-3.44,-14.83,16.61,46.72,263.24,224.99,0.0/12.38/-1.1/3.55/8.48/33.54/10.91/71.91/123.21/34.97/57.4/46.72
2026-09-07,001323,东吴移动互联混合A,混合型-灵活,中高风险,东吴基金,刘元海,2015-05-27,39.15,4,-1,42.73,94.16,0.0,7.95,25.84,3.03,-32.07,-0.98,-12.99,10.89,24.8,159.46,176.66,0.0/15.26/-2.67/11.17/20.43/11.72/9.1/49.4/66.53/13.13/30.21/24.8
2026-09-04,003721,易方达标普信息科技指数(QDII-LOF)A(美元现汇),指数型-海外股票,中高风险,易方达基金,刘依姗,2016-12-13,41.46,0,0,0.05,91.31,7.15,1.42,21.92,1.91,-25.65,4.93,-1.97,26.49,31.86,65.04,109.02,0.0/5.24/13.58/4.2/9.55/3.15/-1.03/24.36/34.51/18.53/30.58/31.86
2026-09-07,008657,景顺长城科技创新混合A,混合型-偏股,中高风险,景顺长城基金,张仲维,2020-03-18,25.95,5,-1,54.0,86.93,0.0,19.05,47.93,2.9,-34.44,6.62,-4.85,35.66,63.48,234.3,189.4,0.0/11.27/-0.55/16.08/14.77/20.21/17.51/53.54/108.66/36.79/61.89/63.48
2026-09-07,002170,东吴移动互联混合C,混合型-灵活,中高风险,东吴基金,刘元海,2015-11-26,66.17,4,-1,55.24,94.16,0.0,7.95,25.59,3.03,-32.08,-1.0,-13.04,10.78,24.55,158.42,174.99,0.0/15.25/-2.7/11.12/20.34/11.63/8.98/49.2/66.27/12.92/29.96/24.55
2026-09-04,012869,易方达标普信息科技指数(QDII-LOF)C(美元现汇),指数型-海外股票,中高风险,易方达基金,刘依姗,2021-07-21,1.22,0,0,0.0,91.31,7.15,1.42,21.6,1.91,-25.68,4.91,-2.05,26.3,31.42,63.98,106.96,0.0/5.23/13.53/4.14/9.45/3.0/-1.23/24.09/34.18/18.19/30.18/31.42
2026-09-07,110029,易方达科讯混合,混合型-偏股,中高风险,易方达基金,刘健维,2007-12-18,127.57,5,-1,26.56,86.71,0.01,18.8,54.34,2.4,-23.1,0.33,1.83,35.93,67.39,269.44,245.24,0.0/14.79/8.52/21.92/24.37/19.99/24.37/65.08/95.26/50.15/72.82/67.39
2026-09-07,011145,华安汇宏精选混合C,混合型-偏股,中高风险,华安基金,桑翔宇,2021-03-26,41.12,5,1000000,57.08,92.96,0.0,9.96,40.18,3.09,-39.57,-3.49,-14.95,16.24,45.84,258.92,219.22,0.0/12.34/-1.22/3.38/8.24/33.19/10.53/71.2/122.12/34.23/56.52/45.84
2026-09-07,002292,诺安益鑫灵活配置混合A,混合型-灵活,中高风险,诺安基金,陈衍鹏,2016-01-22,1.37,3,-1,0.0,66.5,0.0,33.5,31.49,1.99,-18.05,-0.97,1.73,16.63,47.6,154.08,140.89,0.0/6.2/-5.54/-0.83/19.41/30.23/19.15/48.32/63.01/41.95/54.47/47.6
2026-09-07,009891,融通产业趋势臻选股票A,股票型,中高风险,融通基金,李进,2020-08-17,53.57,5,5000000,62.46,92.65,0.01,12.13,39.26,2.91,-42.84,4.6,-15.85,20.36,54.95,210.14,209.55,0.0/16.21/4.58/23.34/22.29/26.03/22.4/71.94/139.36/36.82/56.16/54.95
